Sample Name	Duplication Rate	Reads Passed	Total	Q20 Bases	Q30 Bases	Insert Size Peak	Mean Insert Size (after filtering)	Alignment Rate
BF_neg_Rep1_S12_L006	8.76%	12.810534 M (98.639205%)	12.987264 M	1.902148 G (96.995100%)	1.824508 G (93.036033%)	185	141	59.47%
BF_neg_Rep2_S6_L006	3.92%	17.042024 M (99.103937%)	17.196112 M	2.429186 G (93.552085%)	2.253235 G (86.775947%)	80	114	52.22%
BFacr3clc	19.02%	24.539982 M (99.651399%)	24.625828 M	3.604640 G (97.584267%)	3.482876 G (94.287888%)	184	135	52.95%
BFinput	13.01%	27.260144 M (99.732560%)	27.333244 M	4.003258 G (97.640747%)	3.885235 G (94.762131%)	126	128	61.89%
Input_BF_rep1_S2_L006	6.41%	10.698760 M (98.904693%)	10.817242 M	1.581708 G (96.835088%)	1.518973 G (92.994373%)	151	134	60.72%
Input_BF_rep2_S8_L006	8.67%	20.938940 M (98.750940%)	21.203788 M	3.076210 G (96.078358%)	2.927545 G (91.435141%)	129	131	61.83%
Input_RVFV_rep1_S1_L006	5.98%	11.683718 M (98.796571%)	11.826036 M	1.724286 G (96.559064%)	1.652552 G (92.542032%)	126	132	59.73%
Input_RVFV_rep2_S7_L006	11.33%	15.612516 M (98.774383%)	15.806240 M	2.310101 G (96.788882%)	2.210436 G (92.613115%)	151	135	61.08%
RVFV-d7-Rep3--Ac-clc	7.31%	32.107640 M (99.407222%)	32.299102 M	4.406072 G (90.943125%)	3.871129 G (79.901679%)	44	95	29.67%
RVFV-d7-Rep3--Ago2-clc	7.02%	33.825298 M (99.333244%)	34.052344 M	4.588017 G (89.822831%)	3.970148 G (77.726386%)	45	87	21.03%
RVFV-d7-Rep3--me1-clc	22.04%	8.377846 M (99.089538%)	8.454824 M	1.200901 G (94.691582%)	1.112236 G (87.700344%)	161	119	43.45%
RVFV-d7-Rep3--me2-clc	11.50%	8.426212 M (99.196582%)	8.494458 M	1.232583 G (96.736218%)	1.172312 G (92.006042%)	164	134	56.10%
RVFV-d7-Rep3-input-clc	2.02%	15.469872 M (99.070002%)	15.615092 M	2.201387 G (93.985445%)	2.003122 G (85.520772%)	133	128	58.40%
RVFV_Ac_Rep1-1_S9_L006	8.58%	17.928254 M (98.808735%)	18.144402 M	2.641243 G (96.402601%)	2.520318 G (91.988974%)	155	135	59.44%
RVFV_Ac_Rep1-2_S17_L006	6.51%	16.400850 M (98.962528%)	16.572788 M	2.417186 G (96.591189%)	2.309534 G (92.289408%)	154	133	61.09%
RVFV_Ac_Rep2_S14_L006	6.11%	15.215004 M (98.820442%)	15.396616 M	2.238956 G (96.303775%)	2.141783 G (92.124091%)	162	135	59.70%
RVFV_Me_Rep1_S3_L006	7.11%	7.608942 M (98.809575%)	7.700612 M	1.121411 G (96.441189%)	1.068897 G (91.924989%)	155	135	59.71%
RVFV_Me_Rep2_S5_L006	7.02%	12.726780 M (98.772996%)	12.884878 M	1.882139 G (96.737386%)	1.800322 G (92.532190%)	170	137	59.47%
RVFV_neg_Rep1_S4_L006	6.87%	9.280778 M (98.629715%)	9.409718 M	1.372166 G (96.572423%)	1.309737 G (92.178706%)	122	134	59.49%
RVFV_neg_Rep2_S15_L006	4.29%	17.702964 M (98.699778%)	17.936174 M	2.553648 G (94.287516%)	2.381355 G (87.926028%)	91	115	40.49%
SF-d1-rep1-H3K27Ac	6.65%	20.033912 M (99.474018%)	20.139844 M	2.835196 G (93.850305%)	2.614260 G (86.536901%)	59	109	41.27%
SF-d1-rep1-H3K9me3	6.71%	15.915572 M (99.331932%)	16.022614 M	2.242882 G (93.321525%)	2.053953 G (85.460604%)	59	107	36.10%
SF-d1-rep1-input	5.62%	16.257928 M (99.535869%)	16.333738 M	2.341643 G (95.574887%)	2.220375 G (90.625295%)	111	118	65.67%
SF-d1-rep1AGo2	17.39%	82.487682 M (99.684804%)	82.748502 M	12.199843 G (98.288527%)	11.893822 G (95.823060%)	172	136	55.30%
SF-d1-rep2-H3K9me	4.77%	40.251500 M (99.427384%)	40.483314 M	5.428966 G (89.402526%)	4.694445 G (77.306670%)	48	85	9.93%
SF-d1-rep2-input	17.14%	16.993218 M (99.398121%)	17.096116 M	2.470310 G (96.330250%)	2.353288 G (91.766961%)	152	125	63.78%
SF-d1-rep2AGo2	19.76%	29.796212 M (99.678186%)	29.892410 M	4.429875 G (98.795988%)	4.346982 G (96.947291%)	162	141	58.24%
SF-d1-rep3-input	6.34%	21.092156 M (99.546738%)	21.188194 M	3.056270 G (96.162662%)	2.913676 G (91.676079%)	128	124	65.09%
SF-d1-rep3AGo2	19.94%	34.743428 M (99.644613%)	34.867342 M	5.132422 G (98.132359%)	4.989907 G (95.407461%)	172	136	57.19%
SF-d1-rep4-Ago2-60	3.22%	23.620008 M (98.728163%)	23.924286 M	3.294552 G (91.804959%)	2.948919 G (82.173659%)	132	114	52.53%
SF-d1-rep4-H3ac	2.92%	8.997870 M (98.825608%)	9.104796 M	1.280054 G (93.727482%)	1.159814 G (84.923315%)	153	128	61.45%
SF-d1-rep4-H3me	4.56%	21.701960 M (98.583568%)	22.013770 M	3.004402 G (90.985527%)	2.681152 G (81.196210%)	80	111	39.35%
SF-d3-rep1-H3K27Ac	15.52%	39.308712 M (99.351477%)	39.565302 M	5.560615 G (93.695146%)	5.109153 G (86.088109%)	163	111	44.67%
SF-d3-rep1-H3K9me	7.42%	6.462504 M (99.312764%)	6.507224 M	938.844748 M (96.184871%)	890.683392 M (91.250728%)	172	131	59.90%
SF-d3-rep1-input	6.78%	13.436092 M (99.533833%)	13.499020 M	1.952004 G (96.402271%)	1.867855 G (92.246444%)	153	128	63.31%
SF-d3-rep1AGo2	21.60%	27.806766 M (99.439000%)	27.963642 M	4.098869 G (97.718996%)	3.967649 G (94.590658%)	164	133	0.27%
SF-d3-rep2-AGo2	4.64%	14.110350 M (98.153098%)	14.375858 M	1.995814 G (92.553948%)	1.791221 G (83.066172%)	100	126	49.29%
SF-d3-rep2-H3K27Ac	8.04%	30.764470 M (99.408097%)	30.947650 M	4.300106 G (92.631822%)	3.874843 G (83.470906%)	41	109	45.06%
SF-d3-rep2-H3K9me	7.15%	2.566792 M (99.229757%)	2.586716 M	375.499465 M (96.776367%)	357.952719 M (92.254096%)	174	135	59.24%
SF-d3-rep2-input	14.40%	17.451550 M (99.418524%)	17.553620 M	2.524063 G (95.861076%)	2.396004 G (90.997515%)	113	121	63.47%
SF-d3-rep2H3K27Ac	22.79%	33.941348 M (99.597091%)	34.078654 M	5.000196 G (97.816767%)	4.839317 G (94.669563%)	185	134	54.57%
SF-d3-rep2H3K9me3	28.41%	36.313596 M (99.268580%)	36.581158 M	5.395139 G (98.322730%)	5.247461 G (95.631394%)	180	141	56.22%
SF-d3-rep3-AGo2	2.33%	5.820700 M (98.819235%)	5.890250 M	823.874414 M (93.247249%)	746.464999 M (84.485944%)	124	123	55.66%
SF-d3-rep3-H3K27Ac	3.78%	10.643998 M (99.327440%)	10.716070 M	1.447899 G (90.076478%)	1.255238 G (78.090703%)	54	84	17.60%
SF-d3-rep3-input	21.29%	24.685104 M (99.281085%)	24.863854 M	3.562930 G (95.531724%)	3.365729 G (90.244217%)	153	122	60.51%
SF-d7-rep1-Ago2	2.86%	11.651546 M (99.020987%)	11.766744 M	1.689721 G (95.734291%)	1.551655 G (87.911891%)	168	141	61.68%
SF-d7-rep1input	15.57%	35.873956 M (99.714216%)	35.976772 M	5.309619 G (98.389767%)	5.189075 G (96.156022%)	154	134	62.24%
SF-d7-rep2-Ago2	4.16%	5.816646 M (98.451657%)	5.908124 M	813.528180 M (91.797687%)	723.947239 M (81.689466%)	163	120	44.61%
SF-d7-rep2input	24.51%	25.808840 M (99.652479%)	25.898844 M	3.848398 G (99.062288%)	3.783876 G (97.401425%)	221	146	57.07%
SF-d7-rep3-Ago2	2.49%	10.866780 M (98.930758%)	10.984228 M	1.488777 G (90.358445%)	1.322093 G (80.241926%)	69	106	14.92%
SF-d7-rep3input	18.65%	44.530672 M (99.720674%)	44.655406 M	6.585466 G (98.315326%)	6.433822 G (96.051411%)	150	133	61.97%
SF-d7-rep4-H3K27Ac	5.27%	10.402124 M (98.717429%)	10.537272 M	1.495717 G (94.630261%)	1.360932 G (86.102759%)	162	135	56.24%
SF-d7-rep4-H3K9me3	3.33%	14.396496 M (98.912685%)	14.554752 M	2.035815 G (93.248601%)	1.840968 G (84.323783%)	161	125	62.18%
SF-d7-rep5-H3K27Ac	3.21%	9.553300 M (98.764618%)	9.672796 M	1.338926 G (92.281227%)	1.203823 G (82.969643%)	79	120	20.55%
SF-d7-rep5-H3K9me3	2.65%	8.831472 M (98.947477%)	8.925414 M	1.252676 G (93.566213%)	1.134574 G (84.744799%)	159	127	61.86%
SF-d7-rep6-H3K27Ac	3.82%	18.382466 M (98.788897%)	18.607826 M	2.569896 G (92.072229%)	2.301806 G (82.467318%)	69	117	42.24%
SF-d7-rep6-H3K9me3	2.13%	8.013800 M (98.928792%)	8.100574 M	1.113724 G (91.658013%)	1.001263 G (82.402660%)	75	115	59.19%
